sector;medida;anio;valor_eur
Total nacional;Media;2022;26948.87
Total nacional;Percentil 10;2022;10657.37
Total nacional;Percentil 25;2022;15913.52
Total nacional;Percentil 50;2022;22383.11
Total nacional;Percentil 75;2022;33561.62
Total nacional;Percentil 90;2022;48217.21
Hostelería;Media;2022;16274.71
Hostelería;Percentil 10;2022;5835.71
Hostelería;Percentil 25;2022;10144.29
Hostelería;Percentil 50;2022;16283.07
Hostelería;Percentil 75;2022;20309.66
Hostelería;Percentil 90;2022;25317.63
Información y comunicaciones;Media;2022;37438.55
Información y comunicaciones;Percentil 10;2022;15939.44
Información y comunicaciones;Percentil 25;2022;22500.0
Información y comunicaciones;Percentil 50;2022;33153.63
Información y comunicaciones;Percentil 75;2022;47564.31
Información y comunicaciones;Percentil 90;2022;65040.73
